,topic,query,rank,wid,batch,duration,EndDate,query_mean
21930805312,213,what is carpal tunnel syndrome,4,A3F8K7ZV8AX8UR,red,157,2022-02-12 11:20:43,1.9333333333333333
22297096890,213,what is carpal tunnel syndrome,2,A3D8ZG1VV5FO35,red,435,2022-02-13 00:50:24,1.9333333333333333
24383332012,213,what is carpal tunnel syndrome,1,A2ELXYKRPPGRPB,red,133,2022-02-14 14:42:39,1.9333333333333333
24636013368,213,what is carpal tunnel syndrome,2,AP3TMAKHW9G4P,red,784,2022-02-10 21:21:41,1.9333333333333333
26626279910,213,what is carpal tunnel syndrome,1,A33QI63NVR8CUO,red,204,2022-02-14 14:32:50,1.9333333333333333
27262946246,213,what is carpal tunnel syndrome,2,A1E7H04DK5HXDL,red,263,2022-02-11 10:26:09,1.9333333333333333
29515010323,213,what is carpal tunnel syndrome,2,A1E235KE3CSO7H,red,508,2022-02-14 14:15:36,1.9333333333333333
29592458207,213,what is carpal tunnel syndrome,2,A1V7M45EFSZCJ1,red,260,2022-02-13 01:09:01,1.9333333333333333
36614844345,213,what is carpal tunnel syndrome,3,A24BRTWG07T53Z,red,549,2022-02-10 19:22:49,1.9333333333333333
36924604449,213,what is carpal tunnel syndrome,2,A1IL81UMEC9OJI,red,759,2022-02-14 14:56:34,1.9333333333333333
37081445700,213,what is carpal tunnel syndrome,1,A3S2R1NK6HZ9KP,red,183,2022-02-14 14:58:34,1.9333333333333333
39733485144,213,what is carpal tunnel syndrome,2,AKZ1KRMTFUPRB,red,343,2022-02-12 12:23:23,1.9333333333333333
40083393601,213,what is carpal tunnel syndrome,1,A2NAKIXS3DVGAA,red,120,2022-02-09 11:44:54,1.9333333333333333
40976939934,213,what is carpal tunnel syndrome,2,A3DCXIXXYOO8QL,red,319,2022-02-12 10:53:10,1.9333333333333333
41064146072,213,what is carpal tunnel syndrome,1,A16335MOISDG1F,red,310,2022-02-12 01:15:45,1.9333333333333333
41428627809,213,what is carpal tunnel syndrome,3,A2FE0I7W269C1C,red,343,2022-02-13 05:38:51,1.9333333333333333
42224564114,213,what is carpal tunnel syndrome,1,AJH2N4RI8WA6U,red,271,2022-02-14 14:23:15,1.9333333333333333
42981397919,213,what is carpal tunnel syndrome,1,A5T9IFDZ3W4T6,red,322,2022-02-14 15:09:01,1.9333333333333333
44042154022,213,what is carpal tunnel syndrome,2,A173A97OFDAX9F,red,233,2022-02-12 13:32:31,1.9333333333333333
45437107437,213,what is carpal tunnel syndrome,3,A110ICG2VQUGXS,red,169,2022-02-14 14:30:23,1.9333333333333333
47788836492,213,what is carpal tunnel syndrome,1,A3RCX3IQ8L6HHW,red,416,2022-02-14 14:36:53,1.9333333333333333
47883414346,213,what is carpal tunnel syndrome,1,A33LYSCQQU1YDJ,red,498,2022-02-10 01:39:18,1.9333333333333333
47942251241,213,what is carpal tunnel syndrome,5,A12HWPFXQPITHD,red,158,2022-02-14 14:49:00,1.9333333333333333
48006221780,213,what is carpal tunnel syndrome,4,A132MSWBBVTOES,red,144,2022-02-09 15:00:57,1.9333333333333333
48743136872,213,what is carpal tunnel syndrome,2,A1HK32MD7F0B7F,red,180,2022-02-14 14:11:12,1.9333333333333333
48775020688,213,what is carpal tunnel syndrome,1,AH56J7I291XL7,red,246,2022-02-14 10:15:50,1.9333333333333333
50754168720,213,what is carpal tunnel syndrome,2,A2M03MZWZDXKAJ,red,498,2022-02-14 14:32:44,1.9333333333333333
51903715748,213,what is carpal tunnel syndrome,1,AIOOOO5OXWXKM,red,350,2022-02-14 14:43:04,1.9333333333333333
52830093409,213,what is carpal tunnel syndrome,2,A36UD0YBRIWTVL,red,278,2022-02-09 12:11:57,1.9333333333333333
53825209026,213,what is carpal tunnel syndrome,2,A1NM9PXZDCCQ1E,red,296,2022-02-12 17:10:29,1.9333333333333333
53929812579,213,what is carpal tunnel syndrome,2,A2VFEDAK5C1E1O,red,177,2022-02-10 01:59:44,1.9333333333333333
55585047286,213,what is carpal tunnel syndrome,2,A1JI19KPIVNL3Y,red,340,2022-02-14 00:11:16,1.9333333333333333
57343971708,213,what is carpal tunnel syndrome,3,A18HAAGXN14547,red,154,2022-02-12 14:46:41,1.9333333333333333
57883484137,213,what is carpal tunnel syndrome,4,A207IHY6GERCFO,red,366,2022-02-14 15:04:17,1.9333333333333333
57948679376,213,what is carpal tunnel syndrome,1,A3QUUPHBTNW5KG,red,304,2022-02-11 15:31:43,1.9333333333333333
60606928889,213,what is carpal tunnel syndrome,1,AK1Q45RF8A87Z,red,339,2022-02-13 03:42:25,1.9333333333333333
60832753977,213,what is carpal tunnel syndrome,3,A4D99Y82KOLC8,red,152,2022-02-14 14:30:47,1.9333333333333333
61180804627,213,what is carpal tunnel syndrome,2,A1H7XQCN2TQJM7,red,246,2022-02-12 15:04:22,1.9333333333333333
62305674117,213,what is carpal tunnel syndrome,2,A3BLJ6QSDTZC9U,red,214,2022-02-12 05:50:07,1.9333333333333333
62450082050,213,what is carpal tunnel syndrome,3,A5A14MTB35J23,red,275,2022-02-14 15:01:58,1.9333333333333333
62583433750,213,what is carpal tunnel syndrome,1,A2R28HXAEFKBPC,red,380,2022-02-12 06:24:19,1.9333333333333333
62940897152,213,what is carpal tunnel syndrome,2,A14KDNZSWDFIE7,red,612,2022-02-14 15:21:07,1.9333333333333333
63771188678,213,what is carpal tunnel syndrome,1,AM2KK02JXXW48,red,312,2022-02-14 14:42:39,1.9333333333333333
64187163945,213,what is carpal tunnel syndrome,2,A3V3SQCM8QGYB7,red,268,2022-02-14 14:30:32,1.9333333333333333
64529795213,213,what is carpal tunnel syndrome,2,A1198W1SPF1R4,red,598,2022-02-14 14:46:42,1.9333333333333333
66614099501,213,what is carpal tunnel syndrome,1,A2IEWBVCH5DAKB,red,456,2022-02-12 03:26:27,1.9333333333333333
67858184527,213,what is carpal tunnel syndrome,2,ACM3TPZKLE7WC,red,330,2022-02-13 03:23:16,1.9333333333333333
68393256873,213,what is carpal tunnel syndrome,1,AJQGWGESKQT4Y,red,195,2022-02-14 14:30:03,1.9333333333333333
68447514881,213,what is carpal tunnel syndrome,2,A1ARYQXUB85OAY,red,375,2022-02-11 04:11:43,1.9333333333333333
70663503708,213,what is carpal tunnel syndrome,2,A20ASMCESA51U4,red,430,2022-02-13 10:17:00,1.9333333333333333
70898484915,213,what is carpal tunnel syndrome,2,A2PHGLSGMX3PWZ,red,292,2022-02-13 20:42:07,1.9333333333333333
71279405744,213,what is carpal tunnel syndrome,2,A1JTIHM006U9WM,red,221,2022-02-09 21:56:47,1.9333333333333333
71464584972,213,what is carpal tunnel syndrome,1,A3L4JI1S352HB8,red,190,2022-02-13 00:23:56,1.9333333333333333
73882007172,213,what is carpal tunnel syndrome,1,A2YIB84VKYNKWD,red,358,2022-02-13 04:35:26,1.9333333333333333
76168386279,213,what is carpal tunnel syndrome,3,AKVDY8OXNMQED,red,270,2022-02-14 10:40:18,1.9333333333333333
76939266331,213,what is carpal tunnel syndrome,2,A2IP3ZAFYGV8M9,red,176,2022-02-14 14:31:17,1.9333333333333333
77089664537,213,what is carpal tunnel syndrome,1,A1CH3TODZNQCES,red,221,2022-02-11 16:21:04,1.9333333333333333
77160508823,213,what is carpal tunnel syndrome,3,A1T9BJRS4IL8VQ,red,155,2022-02-12 20:52:15,1.9333333333333333
78669812374,213,what is carpal tunnel syndrome,1,A3ROADR7T6811,red,1279,2022-02-14 14:20:25,1.9333333333333333
79020814921,213,what is carpal tunnel syndrome,3,A2NKW6JBEM4LL4,red,223,2022-02-14 14:31:57,1.9333333333333333
80090468309,213,what is carpal tunnel syndrome,1,A1FA3QRISJ1RIP,red,464,2022-02-12 18:11:37,1.9333333333333333
81249084305,213,what is carpal tunnel syndrome,3,AKQAI78JTXXC9,red,140,2022-02-09 13:06:55,1.9333333333333333
81686870353,213,what is carpal tunnel syndrome,1,A22ON3MIIG0IJA,red,290,2022-02-11 13:06:14,1.9333333333333333
